3.b,2,3,10,1,[[[0, 0], [1, 0], [3, 0], [9, 0], [13, 0], [24, 0], [27, 0], [50, 0], [51, 0], [81, 0], [72, 0]]],[0, 1, 3, 9, 13, 24, 27, 50, 51, 81, 72],3.3.b.E.a

3.b,2,3,10,1,[[[-1/9, 0], [1, 0], [-3, 0], [1, 0], [13, 0], [-24, 0], [-3, 0], [50, 0], [-51, 0], [1, 0], [72, 0]]],[-1/9, 1, -3, 1, 13, -24, -3, 50, -51, 1, 72],3.3.b.E.b

4.b,3,3,10,1,[[[0, 0], [1, 0], [4, 0], [8, 0], [16, 0], [26, 0], [32, 0], [48, 0], [64, 0], [73, 0], [104, 0]]],[0, 1, 4, 8, 16, 26, 32, 48, 64, 73, 104],4.3.b.E.a

4.b,3,3,10,1,[[[-1/4, 0], [1, 0], [1, 0], [-8, 0], [1, 0], [26, 0], [-8, 0], [-48, 0], [1, 0], [73, 0], [26, 0]]],[-1/4, 1, 1, -8, 1, 26, -8, -48, 1, 73, 26],4.3.b.E.b

5.c,2,3,10,4,[[[0, 0], [1, 0], [4, 1], [9, -1], [15, 4], [25, 0], [37, 5], [49, 1], [60, 15], [80, -9], [100, 25]]],[0, 2, 8, 18, 30, 50, 74, 98, 120, 160, 200],5.3.c.E.a

5.c,2,3,10,4,[[[-2/5, -1/5], [1, 0], [1, 4], [1, -9], [-15, 4], [1, 0], [37, -5], [1, 49], [-15, -60], [-80, -9], [1, 4]]],[-4/5, 2, 2, 2, -30, 2, 74, 2, -30, -160, 2],5.3.c.E.b

7.b,6,3,10,1,[[[0, 0], [1, 0], [5, 0], [8, 0], [21, 0], [24, 0], [40, 0], [49, 0], [85, 0], [73, 0], [120, 0]]],[0, 1, 5, 8, 21, 24, 40, 49, 85, 73, 120],7.3.b.E.a

7.b,6,3,10,1,[[[-8/7, 0], [1, 0], [5, 0], [-8, 0], [21, 0], [-24, 0], [-40, 0], [1, 0], [85, 0], [73, 0], [-120, 0]]],[-8/7, 1, 5, -8, 21, -24, -40, 1, 85, 73, -120],7.3.b.E.b

7.d,3,3,10,3,[[[0, 0], [1, 0], [3, 1], [9, 1], [12, 3], [26, -1], [26, 13], [49, 0], [49, 12], [80, 10], [79, 22]]],[0, 2, 7, 19, 27, 51, 65, 98, 110, 170, 180],7.3.d.E.a

7.d,3,3,10,3,[[[0, -1], [1, 0], [-3, 4], [1, 9], [-3, -12], [26, -25], [-39, 13], [1, 0], [61, -12], [-80, 90], [22, 79]]],[-1, 2, -2, 11, -18, 27, -65, 2, 110, -70, 123],7.3.d.E.b

8.d,3,3,10,1,[[[0, 0], [1, 0], [4, 0], [10, 0], [16, 0], [24, 0], [40, 0], [48, 0], [64, 0], [91, 0], [96, 0]]],[0, 1, 4, 10, 16, 24, 40, 48, 64, 91, 96],8.3.d.E.a

8.d,3,3,10,1,[[[-3/2, 0], [1, 0], [1, 0], [10, 0], [1, 0], [-24, 0], [10, 0], [-48, 0], [1, 0], [91, 0], [-24, 0]]],[-3/2, 1, 1, 10, 1, -24, 10, -48, 1, 91, -24],8.3.d.E.b

9.d,2,3,10,3,[[[0, 0], [1, 0], [4, 1], [9, 0], [15, 5], [26, -1], [36, 9], [49, -1], [59, 20], [81, 0], [105, 21]]],[0, 2, 9, 18, 35, 51, 81, 97, 138, 162, 231],9.3.d.E.a

9.d,2,3,10,3,[[[-2/3, -5/3], [1, 0], [1, 4], [1, 0], [-15, 20], [26, -25], [1, 4], [1, -49], [-79, 20], [1, 0], [126, -21]]],[-3, 2, 6, 2, -10, 27, 6, -47, -138, 2, 231],9.3.d.E.b

11.b,10,3,10,1,[[[0, 0], [1, 0], [3, 0], [10, 0], [13, 0], [26, 0], [30, 0], [48, 0], [51, 0], [91, 0], [78, 0]]],[0, 1, 3, 10, 13, 26, 30, 48, 51, 91, 78],11.3.b.E.a

11.b,10,3,10,1,[[[-3, 0], [1, 0], [-3, 0], [10, 0], [13, 0], [26, 0], [-30, 0], [-48, 0], [-51, 0], [91, 0], [-78, 0]]],[-3, 1, -3, 10, 13, 26, -30, -48, -51, 91, -78],11.3.b.E.b

11.d,2,3,10,5,[[[0, 0], [1, 0], [4, 1], [9, 0], [16, 4], [24, 1], [37, 8], [49, 0], [64, 16], [81, -1], [95, 29]]],[0, 4, 17, 35, 67, 99, 150, 197, 269, 314, 417],11.3.d.E.a

11.d,2,3,10,5,[[[-10/11, -26/11], [1, 0], [1, 4], [1, 0], [1, 4], [-24, 25], [37, -32], [1, 0], [1, 4], [1, -81], [-124, 29]]],[-42/11, 4, 8, -5, -8, -21, 35, 53, 56, -86, -417],11.3.d.E.b

13.d,5,3,10,4,[[[0, 0], [1, 0], [4, -1], [10, 0], [15, -4], [25, -1], [40, -10], [49, 1], [60, -15], [91, 0], [99, -29]]],[0, 2, 8, 20, 30, 50, 80, 98, 120, 182, 198],13.3.d.E.a

13.d,5,3,10,4,[[[-27/13, 60/13], [1, 0], [1, -4], [10, 0], [-15, -4], [1, -25], [10, -40], [1, 49], [-15, 60], [91, 0], [-99, -29]]],[-54/13, 2, 2, 20, -30, 2, 20, 2, -30, 182, -198],13.3.d.E.b

13.f,2,3,10,12,[[[0, 0], [1, 0], [4, 1], [8, 0], [16, 4], [25, 0], [32, 8], [49, 1], [64, 16], [72, 0], [101, 25]]],[0, 4, 16, 34, 66, 100, 136, 196, 264, 304, 402],13.3.f.E.a

13.f,2,3,10,12,[[[1, -2], [1, 0], [1, 4], [-8, 0], [1, 4], [1, 0], [-8, -32], [1, 49], [1, 4], [-8, 0], [101, 4]]],[-6, 4, 4, -14, 36, 4, -14, 4, 36, -176, 204],13.3.f.E.b

15.d,14,3,10,1,[[[0, 0], [1, 0], [5, 0], [9, 0], [21, 0], [25, 0], [45, 0], [48, 0], [85, 0], [81, 0], [125, 0]]],[0, 1, 5, 9, 21, 25, 45, 48, 85, 81, 125],15.3.d.E.a

15.d,14,3,10,1,[[[-8, 0], [1, 0], [5, 0], [1, 0], [21, 0], [1, 0], [5, 0], [-48, 0], [85, 0], [1, 0], [5, 0]]],[-8, 1, 5, 1, 21, 1, 5, -48, 85, 1, 5],15.3.d.E.b

15.d,14,3,10,1,[[[0, 0], [1, 0], [-5, 0], [-9, 0], [21, 0], [-1, 0], [45, 0], [-48, 0], [-85, 0], [81, 0], [5, 0]]],[0, 1, -5, -9, 21, -1, 45, -48, -85, 81, 5],15.3.d.E.c

15.d,14,3,10,1,[[[0, 0], [1, 0], [-5, 0], [-1, 0], [21, 0], [-25, 0], [5, 0], [48, 0], [-85, 0], [1, 0], [125, 0]]],[0, 1, -5, -1, 21, -25, 5, 48, -85, 1, 125],15.3.d.E.d

16.f,3,3,10,4,[[[0, 0], [1, 0], [4, 0], [9, -1], [16, 0], [25, -1], [36, -4], [50, 0], [64, 0], [80, -9], [100, -4]]],[0, 2, 8, 18, 32, 50, 72, 100, 128, 160, 200],16.3.f.E.a

16.f,3,3,10,4,[[[-7/2, 15/2], [1, 0], [1, 0], [1, -9], [1, 0], [1, -25], [1, -9], [50, 0], [1, 0], [-80, -9], [1, -25]]],[-7, 2, 2, 2, 2, 2, 2, 100, 2, -160, 2],16.3.f.E.b

17.e,3,3,10,16,[[[0, 0], [1, 0], [4, 0], [9, 1], [16, 0], [25, 0], [36, 4], [49, 0], [64, 0], [81, 9], [100, 0]]],[0, 8, 32, 72, 128, 200, 288, 392, 512, 648, 800],17.3.e.E.a

17.e,3,3,10,16,[[[-40/17, -77/17], [1, 0], [1, 0], [1, 9], [1, 0], [1, 0], [1, 9], [1, 0], [1, 0], [1, 9], [1, 0]]],[-320/17, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8],17.3.e.E.b

19.b,18,3,10,1,[[[0, 0], [1, 0], [3, 0], [8, 0], [13, 0], [26, 0], [24, 0], [50, 0], [51, 0], [73, 0], [78, 0]]],[0, 1, 3, 8, 13, 26, 24, 50, 51, 73, 78],19.3.b.E.a

19.b,18,3,10,1,[[[-11, 0], [1, 0], [-3, 0], [-8, 0], [13, 0], [26, 0], [24, 0], [50, 0], [-51, 0], [73, 0], [-78, 0]]],[-11, 1, -3, -8, 13, 26, 24, 50, -51, 73, -78],19.3.b.E.b

19.d,8,3,10,3,[[[0, 0], [1, 0], [4, 1], [9, 1], [15, 5], [25, -1], [35, 14], [50, 0], [59, 20], [80, 10], [101, 20]]],[0, 2, 9, 19, 35, 49, 84, 100, 138, 170, 222],19.3.d.E.a

19.d,8,3,10,3,[[[139/19, -300/19], [1, 0], [1, 4], [1, 9], [-15, 20], [1, -25], [-35, 49], [50, 0], [-79, 20], [-80, 90], [101, -121]]],[-22/19, 2, 6, 11, -10, -23, -21, 100, -138, -70, 81],19.3.d.E.b

19.f,2,3,10,9,[[[0, 0], [1, 0], [4, 1], [9, 0], [16, 4], [25, 1], [36, 9], [48, 0], [64, 16], [81, 0], [100, 29]]],[0, 6, 24, 54, 96, 150, 216, 291, 387, 486, 600],19.3.f.E.a

19.f,2,3,10,9,[[[1, -10], [1, 0], [1, 4], [1, 0], [1, 4], [1, 25], [1, 4], [-48, 0], [1, 4], [1, 0], [1, 29]]],[-12, 6, 6, 6, 6, 6, 6, -141, 198, 6, 6],19.3.f.E.b

