1.a,1,4,100,1,[[[1/240, []], [1, []], [9, []], [28, []], [73, []], [126, []], [252, []], [344, []], [585, []], [757, []], [1134, []], [1332, []], [2044, []], [2198, []], [3096, []], [3528, []], [4681, []], [4914, []], [6813, []], [6860, []], [9198, []], [9632, []], [11988, []], [12168, []], [16380, []], [15751, []], [19782, []], [20440, []], [25112, []], [24390, []], [31752, []], [29792, []], [37449, []], [37296, []], [44226, []], [43344, []], [55261, []], [50654, []], [61740, []], [61544, []], [73710, []], [68922, []], [86688, []], [79508, []], [97236, []], [95382, []], [109512, []], [103824, []], [131068, []], [117993, []], [141759, []], [137592, []], [160454, []], [148878, []], [183960, []], [167832, []], [201240, []], [192080, []], [219510, []], [205380, []], [257544, []], [226982, []], [268128, []], [260408, []], [299593, []], [276948, []], [335664, []], [300764, []], [358722, []], [340704, []], [390096, []], [357912, []], [442845, []], [389018, []], [455886, []], [441028, []], [500780, []], [458208, []], [553896, []], [493040, []], [589806, []], [551881, []], [620298, []], [571788, []], [703136, []], [619164, []], [715572, []], [682920, []], [779220, []], [704970, []], [858438, []], [756112, []], [888264, []], [834176, []], [934416, []], [864360, []], [1048572, []], [912674, []], [1061937, []], [1008324, []], [1149823, []]]],[1/240, 1, 9, 28, 73, 126, 252, 344, 585, 757, 1134, 1332, 2044, 2198, 3096, 3528, 4681, 4914, 6813, 6860, 9198, 9632, 11988, 12168, 16380, 15751, 19782, 20440, 25112, 24390, 31752, 29792, 37449, 37296, 44226, 43344, 55261, 50654, 61740, 61544, 73710, 68922, 86688, 79508, 97236, 95382, 109512, 103824, 131068, 117993, 141759, 137592, 160454, 148878, 183960, 167832, 201240, 192080, 219510, 205380, 257544, 226982, 268128, 260408, 299593, 276948, 335664, 300764, 358722, 340704, 390096, 357912, 442845, 389018, 455886, 441028, 500780, 458208, 553896, 493040, 589806, 551881, 620298, 571788, 703136, 619164, 715572, 682920, 779220, 704970, 858438, 756112, 888264, 834176, 934416, 864360, 1048572, 912674, 1061937, 1008324, 1149823],1.4.a.E.a

5.b,4,4,100,1,[[[0, []], [1, []], [7, []], [26, []], [57, []], [125, []], [182, []], [342, []], [455, []], [703, []], [875, []], [1332, []], [1482, []], [2196, []], [2394, []], [3250, []], [3641, []], [4912, []], [4921, []], [6860, []], [7125, []], [8892, []], [9324, []], [12166, []], [11830, []], [15625, []], [15372, []], [18980, []], [19494, []], [24390, []], [22750, []], [29792, []], [29127, []], [34632, []], [34384, []], [42750, []], [40071, []], [50652, []], [48020, []], [57096, []], [56875, []], [68922, []], [62244, []], [79506, []], [75924, []], [87875, []], [85162, []], [103822, []], [94666, []], [117307, []], [109375, []], [127712, []], [125172, []], [148876, []], [132860, []], [166500, []], [155610, []], [178360, []], [170730, []], [205380, []], [185250, []], [226982, []], [208544, []], [240426, []], [233017, []], [274500, []], [242424, []], [300762, []], [279984, []], [316316, []], [299250, []], [357912, []], [319865, []], [389016, []], [354564, []], [406250, []], [391020, []], [455544, []], [399672, []], [493040, []], [455125, []], [512461, []], [482454, []], [571786, []], [506844, []], [614000, []], [556542, []], [634140, []], [606060, []], [704970, []], [615125, []], [751032, []], [693462, []], [774592, []], [726754, []], [857500, []], [757302, []], [912672, []], [821149, []], [936396, []], [890625, []]]],[0, 1, 7, 26, 57, 125, 182, 342, 455, 703, 875, 1332, 1482, 2196, 2394, 3250, 3641, 4912, 4921, 6860, 7125, 8892, 9324, 12166, 11830, 15625, 15372, 18980, 19494, 24390, 22750, 29792, 29127, 34632, 34384, 42750, 40071, 50652, 48020, 57096, 56875, 68922, 62244, 79506, 75924, 87875, 85162, 103822, 94666, 117307, 109375, 127712, 125172, 148876, 132860, 166500, 155610, 178360, 170730, 205380, 185250, 226982, 208544, 240426, 233017, 274500, 242424, 300762, 279984, 316316, 299250, 357912, 319865, 389016, 354564, 406250, 391020, 455544, 399672, 493040, 455125, 512461, 482454, 571786, 506844, 614000, 556542, 634140, 606060, 704970, 615125, 751032, 693462, 774592, 726754, 857500, 757302, 912672, 821149, 936396, 890625],5.4.b.E.a

5.b,4,4,100,1,[[[1, []], [1, []], [-7, []], [-26, []], [57, []], [1, []], [182, []], [-342, []], [-455, []], [703, []], [-7, []], [1332, []], [-1482, []], [-2196, []], [2394, []], [-26, []], [3641, []], [-4912, []], [-4921, []], [6860, []], [57, []], [8892, []], [-9324, []], [-12166, []], [11830, []], [1, []], [15372, []], [-18980, []], [-19494, []], [24390, []], [182, []], [29792, []], [-29127, []], [-34632, []], [34384, []], [-342, []], [40071, []], [-50652, []], [-48020, []], [57096, []], [-455, []], [68922, []], [-62244, []], [-79506, []], [75924, []], [703, []], [85162, []], [-103822, []], [-94666, []], [117307, []], [-7, []], [127712, []], [-125172, []], [-148876, []], [132860, []], [1332, []], [155610, []], [-178360, []], [-170730, []], [205380, []], [-1482, []], [226982, []], [-208544, []], [-240426, []], [233017, []], [-2196, []], [242424, []], [-300762, []], [-279984, []], [316316, []], [2394, []], [357912, []], [-319865, []], [-389016, []], [354564, []], [-26, []], [391020, []], [-455544, []], [-399672, []], [493040, []], [3641, []], [512461, []], [-482454, []], [-571786, []], [506844, []], [-4912, []], [556542, []], [-634140, []], [-606060, []], [704970, []], [-4921, []], [751032, []], [-693462, []], [-774592, []], [726754, []], [6860, []], [757302, []], [-912672, []], [-821149, []], [936396, []], [57, []]]],[1, 1, -7, -26, 57, 1, 182, -342, -455, 703, -7, 1332, -1482, -2196, 2394, -26, 3641, -4912, -4921, 6860, 57, 8892, -9324, -12166, 11830, 1, 15372, -18980, -19494, 24390, 182, 29792, -29127, -34632, 34384, -342, 40071, -50652, -48020, 57096, -455, 68922, -62244, -79506, 75924, 703, 85162, -103822, -94666, 117307, -7, 127712, -125172, -148876, 132860, 1332, 155610, -178360, -170730, 205380, -1482, 226982, -208544, -240426, 233017, -2196, 242424, -300762, -279984, 316316, 2394, 357912, -319865, -389016, 354564, -26, 391020, -455544, -399672, 493040, 3641, 512461, -482454, -571786, 506844, -4912, 556542, -634140, -606060, 704970, -4921, 751032, -693462, -774592, 726754, 6860, 757302, -912672, -821149, 936396, 57],5.4.b.E.b

7.c,2,4,100,3,[[[0, [0]], [1, [0]], [7, [-1]], [27, [1]], [56, [-7]], [124, [-1]], [190, [-19]], [343, [0]], [449, [-56]], [728, [26]], [867, [-132]], [1331, [1]], [1519, [-126]], [2198, [0]], [2401, [-343]], [3349, [98]], [3591, [-449]], [4913, [1]], [5122, [-520]], [6858, [-1]], [6937, [-931]], [9261, [343]], [9318, [-1323]], [12166, [-1]], [12179, [-1007]], [15500, [-124]], [15386, [-2198]], [19657, [702]], [19208, [-2401]], [24390, [0]], [23541, [-2565]], [29791, [1]], [28728, [-3591]], [35936, [1357]], [34392, [-4905]], [42532, [-343]], [40950, [-3458]], [50652, [-1]], [48005, [-6866]], [59346, [2198]], [55620, [-7449]], [68922, [0]], [65170, [-6517]], [79508, [0]], [74543, [-9254]], [90298, [2522]], [85161, [-12174]], [103822, [-1]], [97406, [-8083]], [117649, [0]], [108376, [-16492]], [132650, [4939]], [123088, [-15386]], [148877, [1]], [138301, [-14041]], [165045, [-1206]], [154007, [-19208]], [185167, [6832]], [170730, [-24390]], [205379, [1]], [188230, [-17269]], [226980, [-1]], [208538, [-29783]], [249704, [8918]], [229825, [-28728]], [272552, [-2198]], [252909, [-25080]], [300763, [1]], [275135, [-34328]], [328483, [12140]], [297381, [-45276]], [357912, [0]], [328328, [-27638]], [389017, [1]], [354563, [-50660]], [418624, [12276]], [384041, [-48069]], [456533, [343]], [417620, [-41762]], [493038, [-1]], [444835, [-59716]], [530739, [18955]], [482454, [-68922]], [571788, [0]], [521017, [-43218]], [609213, [-4788]], [556556, [-79508]], [658530, [24390]], [597675, [-74031]], [704968, [-1]], [634608, [-70122]], [753914, [0]], [681289, [-85225]], [804356, [29817]], [726753, [-103830]], [850391, [-6983]], [779247, [-64638]], [912674, [0]], [823543, [-117649]], [968942, [35308]], [867132, [-116312]]]],[0, 2, 15, 53, 119, 249, 399, 686, 954, 1430, 1866, 2661, 3164, 4396, 5145, 6600, 7631, 9825, 10764, 13717, 14805, 18179, 19959, 24333, 25365, 31124, 32970, 38612, 40817, 48780, 49647, 59581, 61047, 70515, 73689, 85407, 85358, 101305, 102876, 116494, 118689, 137844, 136857, 159016, 158340, 178074, 182496, 207645, 202895, 235298, 233244, 260361, 261562, 297753, 290643, 331296, 327222, 363502, 365850, 410757, 393729, 453961, 446859, 490490, 488378, 547302, 530898, 601525, 584598, 644826, 640038, 715824, 684294, 778033, 759786, 824972, 816151, 912723, 877002, 986077, 949386, 1042523, 1033830, 1143576, 1085252, 1223214, 1192620, 1292670, 1269381, 1409937, 1339338, 1507828, 1447803, 1578895, 1557336, 1707765, 1623132, 1825348, 1764735, 1902576, 1850576],7.4.c.E.a

7.c,2,4,100,3,[[[16/7, [-11/7]], [1, [0]], [-7, [-8]], [1, [27]], [-7, [56]], [-124, [-125]], [209, [19]], [1, [0]], [505, [56]], [-728, [-702]], [-132, [867]], [1, [1331]], [-1519, [-1645]], [2198, [0]], [-7, [-8]], [3251, [-98]], [-3591, [-4040]], [1, [4913]], [-520, [5122]], [-6858, [-6859]], [7868, [931]], [1, [27]], [10641, [1323]], [-12166, [-12167]], [-1007, [12179]], [-124, [15500]], [-15386, [-17584]], [18955, [-702]], [-7, [56]], [24390, [0]], [-23541, [-26106]], [1, [29791]], [-3591, [28728]], [-35936, [-34579]], [39297, [4905]], [-124, [-125]], [44408, [3458]], [-50652, [-50653]], [-6866, [48005]], [2198, [59346]], [-55620, [-63069]], [68922, [0]], [209, [19]], [79508, [0]], [-74543, [-83797]], [2522, [90298]], [-12174, [85161]], [-103822, [-103823]], [105489, [8083]], [1, [0]], [124868, [16492]], [-132650, [-127711]], [-15386, [123088]], [1, [148877]], [-138301, [-152342]], [166251, [1206]], [505, [56]], [178335, [-6832]], [-170730, [-195120]], [1, [205379]], [-17269, [188230]], [-226980, [-226981]], [238321, [29783]], [-728, [-702]], [258553, [28728]], [-272552, [-274750]], [-25080, [252909]], [1, [300763]], [-275135, [-309463]], [316343, [-12140]], [-132, [867]], [357912, [0]], [-328328, [-355966]], [1, [389017]], [-50660, [354563]], [-418624, [-406348]], [432110, [48069]], [1, [1331]], [459382, [41762]], [-493038, [-493039]], [-59716, [444835]], [18955, [530739]], [-482454, [-551376]], [571788, [0]], [-1519, [-1645]], [614001, [4788]], [-556556, [-636064]], [24390, [658530]], [-74031, [597675]], [-704968, [-704969]], [704730, [70122]], [2198, [0]], [766514, [85225]], [-804356, [-774539]], [-103830, [726753]], [-6983, [850391]], [-779247, [-843885]], [912674, [0]], [-7, [-8]], [933634, [-35308]], [-867132, [-983444]]]],[43/7, 2, -6, -25, -70, -123, 399, 2, 954, -754, -1131, -1329, -1393, 4396, -6, 6600, -3142, -4911, -6162, -6857, 14805, -25, 19959, -12165, -14193, -15748, -13188, 38612, -70, 48780, -20976, -29789, -35910, -37293, 73689, -123, 85358, -50651, -61737, -54950, -48171, 137844, 399, 159016, -65289, -85254, -109509, -103821, 202895, 2, 233244, -137589, -153860, -148875, -124260, 331296, 954, 363502, -146340, -205377, -222768, -226979, 446859, -754, 488378, -270354, -303069, -300761, -240807, 644826, -1131, 715824, -300690, -389015, -455883, -430900, 816151, -1329, 877002, -493037, -564267, -492829, -413532, 1143576, -1393, 1223214, -477048, -609750, -745737, -704967, 1339338, 4396, 1447803, -834173, -934413, -864357, -714609, 1825348, -6, 1902576, -750820],7.4.c.E.b

8.b,5,4,100,1,[[[0, []], [1, []], [8, []], [26, []], [64, []], [124, []], [208, []], [344, []], [512, []], [703, []], [992, []], [1330, []], [1664, []], [2196, []], [2752, []], [3224, []], [4096, []], [4914, []], [5624, []], [6858, []], [7936, []], [8944, []], [10640, []], [12168, []], [13312, []], [15501, []], [17568, []], [18980, []], [22016, []], [24388, []], [25792, []], [29792, []], [32768, []], [34580, []], [39312, []], [42656, []], [44992, []], [50652, []], [54864, []], [57096, []], [63488, []], [68922, []], [71552, []], [79506, []], [85120, []], [87172, []], [97344, []], [103824, []], [106496, []], [117993, []], [124008, []], [127764, []], [140544, []], [148876, []], [151840, []], [164920, []], [176128, []], [178308, []], [195104, []], [205378, []], [206336, []], [226980, []], [238336, []], [241832, []], [262144, []], [272304, []], [276640, []], [300762, []], [314496, []], [316368, []], [341248, []], [357912, []], [359936, []], [389018, []], [405216, []], [403026, []], [438912, []], [457520, []], [456768, []], [493040, []], [507904, []], [512461, []], [551376, []], [571786, []], [572416, []], [609336, []], [636048, []], [634088, []], [680960, []], [704970, []], [697376, []], [755424, []], [778752, []], [774592, []], [830592, []], [850392, []], [851968, []], [912674, []], [943944, []], [934990, []], [992064, []]]],[0, 1, 8, 26, 64, 124, 208, 344, 512, 703, 992, 1330, 1664, 2196, 2752, 3224, 4096, 4914, 5624, 6858, 7936, 8944, 10640, 12168, 13312, 15501, 17568, 18980, 22016, 24388, 25792, 29792, 32768, 34580, 39312, 42656, 44992, 50652, 54864, 57096, 63488, 68922, 71552, 79506, 85120, 87172, 97344, 103824, 106496, 117993, 124008, 127764, 140544, 148876, 151840, 164920, 176128, 178308, 195104, 205378, 206336, 226980, 238336, 241832, 262144, 272304, 276640, 300762, 314496, 316368, 341248, 357912, 359936, 389018, 405216, 403026, 438912, 457520, 456768, 493040, 507904, 512461, 551376, 571786, 572416, 609336, 636048, 634088, 680960, 704970, 697376, 755424, 778752, 774592, 830592, 850392, 851968, 912674, 943944, 934990, 992064],8.4.b.E.a
