3.b,2,7,100,1,[[[0, []], [1, []], [63, []], [729, []], [4033, []], [15624, []], [45927, []], [117650, []], [258111, []], [531441, []], [984312, []], [1771560, []], [2940057, []], [4826810, []], [7411950, []], [11389896, []], [16519105, []], [24137568, []], [33480783, []], [47045882, []], [63011592, []], [85766850, []], [111608280, []], [148035888, []], [188162919, []], [244125001, []], [304089030, []], [387420489, []], [474482450, []], [594823320, []], [717563448, []], [887503682, []], [1057222719, []], [1291467240, []], [1520666784, []], [1838163600, []], [2143301553, []], [2565726410, []], [2963890566, []], [3518744490, []], [4032726264, []], [4750104240, []], [5403311550, []], [6321363050, []], [7144701480, []], [8303234184, []], [9326260944, []], [10779215328, []], [12042427545, []], [13841404851, []], [15379875063, []], [17596287072, []], [19466524730, []], [22164361128, []], [24407490807, []], [27678853440, []], [30366759150, []], [34296447978, []], [37473869160, []], [42180533640, []], [45935450568, []], [51520374362, []], [55912731966, []], [62524033650, []], [67662254017, []], [75414079440, []], [81362436120, []], [90458382170, []], [97346811744, []], [107918162352, []], [115804306800, []], [128100283920, []], [137170767951, []], [151334226290, []], [161640763830, []], [177967125729, []], [189736042106, []], [208424034000, []], [221680902870, []], [243087455522, []], [258094496520, []], [282429536481, []], [299256567120, []], [326940373368, []], [345897706050, []], [377125362432, []], [398245872150, []], [433626200280, []], [457259123160, []], [496981290960, []], [523103753592, []], [567874196500, []], [597028736304, []], [646990184178, []], [679090565664, []], [735044860368, []], [770715362151, []], [832972004930, []], [872008505613, []], [941479617960, []], [984556129033, []]]],[0, 1, 63, 729, 4033, 15624, 45927, 117650, 258111, 531441, 984312, 1771560, 2940057, 4826810, 7411950, 11389896, 16519105, 24137568, 33480783, 47045882, 63011592, 85766850, 111608280, 148035888, 188162919, 244125001, 304089030, 387420489, 474482450, 594823320, 717563448, 887503682, 1057222719, 1291467240, 1520666784, 1838163600, 2143301553, 2565726410, 2963890566, 3518744490, 4032726264, 4750104240, 5403311550, 6321363050, 7144701480, 8303234184, 9326260944, 10779215328, 12042427545, 13841404851, 15379875063, 17596287072, 19466524730, 22164361128, 24407490807, 27678853440, 30366759150, 34296447978, 37473869160, 42180533640, 45935450568, 51520374362, 55912731966, 62524033650, 67662254017, 75414079440, 81362436120, 90458382170, 97346811744, 107918162352, 115804306800, 128100283920, 137170767951, 151334226290, 161640763830, 177967125729, 189736042106, 208424034000, 221680902870, 243087455522, 258094496520, 282429536481, 299256567120, 326940373368, 345897706050, 377125362432, 398245872150, 433626200280, 457259123160, 496981290960, 523103753592, 567874196500, 597028736304, 646990184178, 679090565664, 735044860368, 770715362151, 832972004930, 872008505613, 941479617960, 984556129033],3.7.b.E.a

3.b,2,7,100,1,[[[-7/3, []], [1, []], [-63, []], [1, []], [4033, []], [-15624, []], [-63, []], [117650, []], [-258111, []], [1, []], [984312, []], [-1771560, []], [4033, []], [4826810, []], [-7411950, []], [-15624, []], [16519105, []], [-24137568, []], [-63, []], [47045882, []], [-63011592, []], [117650, []], [111608280, []], [-148035888, []], [-258111, []], [244125001, []], [-304089030, []], [1, []], [474482450, []], [-594823320, []], [984312, []], [887503682, []], [-1057222719, []], [-1771560, []], [1520666784, []], [-1838163600, []], [4033, []], [2565726410, []], [-2963890566, []], [4826810, []], [4032726264, []], [-4750104240, []], [-7411950, []], [6321363050, []], [-7144701480, []], [-15624, []], [9326260944, []], [-10779215328, []], [16519105, []], [13841404851, []], [-15379875063, []], [-24137568, []], [19466524730, []], [-22164361128, []], [-63, []], [27678853440, []], [-30366759150, []], [47045882, []], [37473869160, []], [-42180533640, []], [-63011592, []], [51520374362, []], [-55912731966, []], [117650, []], [67662254017, []], [-75414079440, []], [111608280, []], [90458382170, []], [-97346811744, []], [-148035888, []], [115804306800, []], [-128100283920, []], [-258111, []], [151334226290, []], [-161640763830, []], [244125001, []], [189736042106, []], [-208424034000, []], [-304089030, []], [243087455522, []], [-258094496520, []], [1, []], [299256567120, []], [-326940373368, []], [474482450, []], [377125362432, []], [-398245872150, []], [-594823320, []], [457259123160, []], [-496981290960, []], [984312, []], [567874196500, []], [-597028736304, []], [887503682, []], [679090565664, []], [-735044860368, []], [-1057222719, []], [832972004930, []], [-872008505613, []], [-1771560, []], [984556129033, []]]],[-7/3, 1, -63, 1, 4033, -15624, -63, 117650, -258111, 1, 984312, -1771560, 4033, 4826810, -7411950, -15624, 16519105, -24137568, -63, 47045882, -63011592, 117650, 111608280, -148035888, -258111, 244125001, -304089030, 1, 474482450, -594823320, 984312, 887503682, -1057222719, -1771560, 1520666784, -1838163600, 4033, 2565726410, -2963890566, 4826810, 4032726264, -4750104240, -7411950, 6321363050, -7144701480, -15624, 9326260944, -10779215328, 16519105, 13841404851, -15379875063, -24137568, 19466524730, -22164361128, -63, 27678853440, -30366759150, 47045882, 37473869160, -42180533640, -63011592, 51520374362, -55912731966, 117650, 67662254017, -75414079440, 111608280, 90458382170, -97346811744, -148035888, 115804306800, -128100283920, -258111, 151334226290, -161640763830, 244125001, 189736042106, -208424034000, -304089030, 243087455522, -258094496520, 1, 299256567120, -326940373368, 474482450, 377125362432, -398245872150, -594823320, 457259123160, -496981290960, 984312, 567874196500, -597028736304, 887503682, 679090565664, -735044860368, -1057222719, 832972004930, -872008505613, -1771560, 984556129033],3.7.b.E.b

4.b,3,7,100,1,[[[0, []], [1, []], [64, []], [728, []], [4096, []], [15626, []], [46592, []], [117648, []], [262144, []], [530713, []], [1000064, []], [1771560, []], [2981888, []], [4826810, []], [7529472, []], [11375728, []], [16777216, []], [24137570, []], [33965632, []], [47045880, []], [64004096, []], [85647744, []], [113379840, []], [148035888, []], [190840832, []], [244156251, []], [308915840, []], [386889776, []], [481886208, []], [594823322, []], [728046592, []], [887503680, []], [1073741824, []], [1289695680, []], [1544804480, []], [1838367648, []], [2173800448, []], [2565726410, []], [3010936320, []], [3513917680, []], [4096262144, []], [4750104242, []], [5481455616, []], [6321363048, []], [7256309760, []], [8292921338, []], [9474296832, []], [10779215328, []], [12213813248, []], [13841169553, []], [15626000064, []], [17572150960, []], [19770613760, []], [22164361130, []], [24760945664, []], [27682396560, []], [30840717312, []], [34249400640, []], [38068692608, []], [42180533640, []], [46594981888, []], [51520374362, []], [56800235520, []], [62437323024, []], [68719476736, []], [75423733060, []], [82540523520, []], [90458382168, []], [98867486720, []], [107770126464, []], [117655529472, []], [128100283920, []], [139123228672, []], [151334226290, []], [164206490240, []], [177745750728, []], [192699924480, []], [208420490880, []], [224890731520, []], [243087455520, []], [262160777216, []], [282042646705, []], [304006671488, []], [326940373368, []], [350813159424, []], [377173668820, []], [404567235072, []], [433031378416, []], [464403824640, []], [496981290962, []], [530746965632, []], [567864542880, []], [606354997248, []], [646102679040, []], [689869780992, []], [735138920880, []], [781684047872, []], [832972004930, []], [885834851392, []], [940189922280, []], [1000064004096, []]]],[0, 1, 64, 728, 4096, 15626, 46592, 117648, 262144, 530713, 1000064, 1771560, 2981888, 4826810, 7529472, 11375728, 16777216, 24137570, 33965632, 47045880, 64004096, 85647744, 113379840, 148035888, 190840832, 244156251, 308915840, 386889776, 481886208, 594823322, 728046592, 887503680, 1073741824, 1289695680, 1544804480, 1838367648, 2173800448, 2565726410, 3010936320, 3513917680, 4096262144, 4750104242, 5481455616, 6321363048, 7256309760, 8292921338, 9474296832, 10779215328, 12213813248, 13841169553, 15626000064, 17572150960, 19770613760, 22164361130, 24760945664, 27682396560, 30840717312, 34249400640, 38068692608, 42180533640, 46594981888, 51520374362, 56800235520, 62437323024, 68719476736, 75423733060, 82540523520, 90458382168, 98867486720, 107770126464, 117655529472, 128100283920, 139123228672, 151334226290, 164206490240, 177745750728, 192699924480, 208420490880, 224890731520, 243087455520, 262160777216, 282042646705, 304006671488, 326940373368, 350813159424, 377173668820, 404567235072, 433031378416, 464403824640, 496981290962, 530746965632, 567864542880, 606354997248, 646102679040, 689869780992, 735138920880, 781684047872, 832972004930, 885834851392, 940189922280, 1000064004096],4.7.b.E.a

4.b,3,7,100,1,[[[-61/4, []], [1, []], [1, []], [-728, []], [1, []], [15626, []], [-728, []], [-117648, []], [1, []], [530713, []], [15626, []], [-1771560, []], [-728, []], [4826810, []], [-117648, []], [-11375728, []], [1, []], [24137570, []], [530713, []], [-47045880, []], [15626, []], [85647744, []], [-1771560, []], [-148035888, []], [-728, []], [244156251, []], [4826810, []], [-386889776, []], [-117648, []], [594823322, []], [-11375728, []], [-887503680, []], [1, []], [1289695680, []], [24137570, []], [-1838367648, []], [530713, []], [2565726410, []], [-47045880, []], [-3513917680, []], [15626, []], [4750104242, []], [85647744, []], [-6321363048, []], [-1771560, []], [8292921338, []], [-148035888, []], [-10779215328, []], [-728, []], [13841169553, []], [244156251, []], [-17572150960, []], [4826810, []], [22164361130, []], [-386889776, []], [-27682396560, []], [-117648, []], [34249400640, []], [594823322, []], [-42180533640, []], [-11375728, []], [51520374362, []], [-887503680, []], [-62437323024, []], [1, []], [75423733060, []], [1289695680, []], [-90458382168, []], [24137570, []], [107770126464, []], [-1838367648, []], [-128100283920, []], [530713, []], [151334226290, []], [2565726410, []], [-177745750728, []], [-47045880, []], [208420490880, []], [-3513917680, []], [-243087455520, []], [15626, []], [282042646705, []], [4750104242, []], [-326940373368, []], [85647744, []], [377173668820, []], [-6321363048, []], [-433031378416, []], [-1771560, []], [496981290962, []], [8292921338, []], [-567864542880, []], [-148035888, []], [646102679040, []], [-10779215328, []], [-735138920880, []], [-728, []], [832972004930, []], [13841169553, []], [-940189922280, []], [244156251, []]]],[-61/4, 1, 1, -728, 1, 15626, -728, -117648, 1, 530713, 15626, -1771560, -728, 4826810, -117648, -11375728, 1, 24137570, 530713, -47045880, 15626, 85647744, -1771560, -148035888, -728, 244156251, 4826810, -386889776, -117648, 594823322, -11375728, -887503680, 1, 1289695680, 24137570, -1838367648, 530713, 2565726410, -47045880, -3513917680, 15626, 4750104242, 85647744, -6321363048, -1771560, 8292921338, -148035888, -10779215328, -728, 13841169553, 244156251, -17572150960, 4826810, 22164361130, -386889776, -27682396560, -117648, 34249400640, 594823322, -42180533640, -11375728, 51520374362, -887503680, -62437323024, 1, 75423733060, 1289695680, -90458382168, 24137570, 107770126464, -1838367648, -128100283920, 530713, 151334226290, 2565726410, -177745750728, -47045880, 208420490880, -3513917680, -243087455520, 15626, 282042646705, 4750104242, -326940373368, 85647744, 377173668820, -6321363048, -433031378416, -1771560, 496981290962, 8292921338, -567864542880, -148035888, 646102679040, -10779215328, -735138920880, -728, 832972004930, 13841169553, -940189922280, 244156251],4.7.b.E.b

5.c,2,7,100,4,[[[0, [0]], [1, [0]], [64, [1]], [729, [-1]], [4095, [64]], [15625, [0]], [46657, [665]], [117649, [1]], [262080, [4095]], [531440, [-729]], [1000000, [15625]], [1771562, [0]], [2985319, [42561]], [4826809, [-1]], [7529535, [117713]], [11390625, [-15625]], [16773121, [262080]], [24137569, [1]], [34012889, [484784]], [47045880, [0]], [63984375, [1000000]], [85766122, [-116920]], [113379968, [1771562]], [148035889, [-1]], [191060415, [2723175]], [244140625, [0]], [308915777, [4826745]], [387419760, [-531440]], [481772591, [7533631]], [594823320, [0]], [729015625, [10390625]], [887503682, [0]], [1073479744, [16773121]], [1291468698, [-1771562]], [1544804415, [24137633]], [1838265625, [15625]], [2176293456, [31026905]], [2565726409, [1]], [3010936320, [47045880]], [3518743760, [-4827538]], [4095000000, [63984375]], [4750104242, [0]], [5489148728, [78283242]], [6321363049, [-1]], [7254546390, [113379968]], [8303750000, [-11390625]], [9474296897, [148035825]], [10779215329, [1]], [12227867289, [174283199]], [13841287200, [117649]], [15625000000, [244140625]], [17596287802, [-24136840]], [19765782919, [308911681]], [22164361129, [-1]], [24795396080, [353407600]], [27680656250, [0]], [30833445825, [482034735]], [34296446520, [-47045880]], [38068692480, [594823320]], [42180533640, [0]], [46645609375, [665015625]], [51520374362, [0]], [56800235648, [887503682]], [62523385289, [-85234681]], [68702703615, [1073479744]], [75418890625, [-15625]], [82655768234, [1178088730]], [90458382169, [1]], [98843344991, [1544808511]], [107918163080, [-148036618]], [117648984375, [1839265625]], [128100283922, [0]], [139282780455, [1985190480]], [151334226289, [-1]], [164206490175, [2565726473]], [177978515625, [-244140625]], [192652878600, [3010936320]], [208422497738, [1771562]], [225204428178, [3209781328]], [243087455520, [0]], [262080015625, [4095000000]], [282429005041, [-387419760]], [304006671488, [4750104242]], [326940373369, [-1]], [351219752470, [5010244408]], [377149515625, [15625]], [404567235137, [6321362985]], [433626200280, [-594823320]], [464290968960, [7254546390]], [496981290960, [0]], [531451390625, [7574750000]], [567869252042, [4709160]], [606206965519, [9474292801]], [646990184178, [-887503682]], [689869781055, [10779215393]], [735091875000, [0]], [782583506497, [11154125465]], [832972004929, [1]], [885842263151, [13848816736]], [941478909280, [-1291468698]], [999755859375, [15625000000]]]],[0, 2, 128, 1458, 8190, 31250, 93314, 235298, 524160, 1062880, 2000000, 3543124, 5970638, 9653618, 15059070, 22781250, 33546242, 48275138, 68025778, 94091760, 127968750, 171532244, 226759936, 296071778, 382120830, 488281250, 617831554, 774839520, 963545182, 1189646640, 1458031250, 1775007364, 2146959488, 2582937396, 3089608830, 3676531250, 4352586912, 5131452818, 6021872640, 7037487520, 8190000000, 9500208484, 10978297456, 12642726098, 14509092780, 16607500000, 18948593794, 21558430658, 24455734578, 27682574400, 31250000000, 35192575604, 39531565838, 44328722258, 49590792160, 55361312500, 61666891650, 68592893040, 76137384960, 84361067280, 93291218750, 103040748724, 113600471296, 125046770578, 137405407230, 150837781250, 165311536468, 180916764338, 197686689982, 215836326160, 235297968750, 256200567844, 278565560910, 302668452578, 328412980350, 355957031250, 385305757200, 416844995476, 450408856356, 486174911040, 524160031250, 564858010082, 608013342976, 653880746738, 702439504940, 754299031250, 809134470274, 867252400560, 928581937920, 993962581920, 1062902781250, 1135738504084, 1212413931038, 1293980368356, 1379739562110, 1470183750000, 1565167012994, 1665944009858, 1771684526302, 1882957818560, 1999511718750],5.7.c.E.a

5.c,2,7,100,4,[[[-278/5, [-169/5]], [1, [0]], [1, [64]], [1, [-729]], [-4095, [64]], [1, [0]], [46657, [-665]], [1, [117649]], [-4095, [-262080]], [-531440, [-729]], [1, [64]], [1771562, [0]], [42561, [2985319]], [1, [-4826809]], [-7529535, [117713]], [1, [-729]], [16773121, [-262080]], [1, [24137569]], [-484784, [-34012889]], [-47045880, [0]], [-4095, [64]], [85766122, [116920]], [1771562, [113379968]], [1, [-148035889]], [-191060415, [2723175]], [1, [0]], [308915777, [-4826745]], [-531440, [387419760]], [-7533631, [-481772591]], [-594823320, [0]], [46657, [-665]], [887503682, [0]], [16773121, [1073479744]], [1771562, [-1291468698]], [-1544804415, [24137633]], [1, [117649]], [2176293456, [-31026905]], [1, [2565726409]], [-47045880, [-3010936320]], [-3518743760, [-4827538]], [-4095, [-262080]], [4750104242, [0]], [78283242, [5489148728]], [1, [-6321363049]], [-7254546390, [113379968]], [-531440, [-729]], [9474296897, [-148035825]], [1, [10779215329]], [-174283199, [-12227867289]], [-13841287200, [117649]], [1, [64]], [17596287802, [24136840]], [308911681, [19765782919]], [1, [-22164361129]], [-24795396080, [353407600]], [1771562, [0]], [30833445825, [-482034735]], [-47045880, [34296446520]], [-594823320, [-38068692480]], [-42180533640, [0]], [42561, [2985319]], [51520374362, [0]], [887503682, [56800235648]], [85234681, [-62523385289]], [-68702703615, [1073479744]], [1, [-4826809]], [82655768234, [-1178088730]], [1, [90458382169]], [-1544808511, [-98843344991]], [-107918163080, [-148036618]], [-7529535, [117713]], [128100283922, [0]], [1985190480, [139282780455]], [1, [-151334226289]], [-164206490175, [2565726473]], [1, [-729]], [192652878600, [-3010936320]], [1771562, [208422497738]], [-3209781328, [-225204428178]], [-243087455520, [0]], [16773121, [-262080]], [282429005041, [387419760]], [4750104242, [304006671488]], [1, [-326940373369]], [-351219752470, [5010244408]], [1, [24137569]], [404567235137, [-6321362985]], [-594823320, [433626200280]], [-7254546390, [-464290968960]], [-496981290960, [0]], [-484784, [-34012889]], [567869252042, [-4709160]], [9474292801, [606206965519]], [887503682, [-646990184178]], [-689869781055, [10779215393]], [-47045880, [0]], [782583506497, [-11154125465]], [1, [832972004929]], [-13848816736, [-885842263151]], [-941478909280, [-1291468698]], [-4095, [64]]]],[-556/5, 2, 2, 2, -8190, 2, 93314, 2, -8190, -1062880, 2, 3543124, 85122, 2, -15059070, 2, 33546242, 2, -969568, -94091760, -8190, 171532244, 3543124, 2, -382120830, 2, 617831554, -1062880, -15067262, -1189646640, 93314, 1775007364, 33546242, 3543124, -3089608830, 2, 4352586912, 2, -94091760, -7037487520, -8190, 9500208484, 156566484, 2, -14509092780, -1062880, 18948593794, 2, -348566398, -27682574400, 2, 35192575604, 617823362, 2, -49590792160, 3543124, 61666891650, -94091760, -1189646640, -84361067280, 85122, 103040748724, 1775007364, 170469362, -137405407230, 2, 165311536468, 2, -3089617022, -215836326160, -15059070, 256200567844, 3970380960, 2, -328412980350, 2, 385305757200, 3543124, -6419562656, -486174911040, 33546242, 564858010082, 9500208484, 2, -702439504940, 2, 809134470274, -1189646640, -14509092780, -993962581920, -969568, 1135738504084, 18948585602, 1775007364, -1379739562110, -94091760, 1565167012994, 2, -27697633472, -1882957818560, -8190],5.7.c.E.b
